roll_no,full_name,email,dept_code,section,batch_year,cgpa,backlogs,placement_status
CB.EN.U4EEE22213,Siddharth Das,cb.en.u4eee22213@cb.students.amrita.edu,EEE,C,2026,6.87,2,Not Placed
CB.EN.U4EEE22214,Varsha Verma,cb.en.u4eee22214@cb.students.amrita.edu,EEE,C,2026,9.04,0,Placed
CB.EN.U4EEE22215,Meera Srinivasan,cb.en.u4eee22215@cb.students.amrita.edu,EEE,C,2026,9.13,0,Placed
CB.EN.U4EEE22216,Aarav Raman,cb.en.u4eee22216@cb.students.amrita.edu,EEE,C,2026,8.05,0,Placed
CB.EN.U4EEE22217,Rahul Nair,cb.en.u4eee22217@cb.students.amrita.edu,EEE,C,2026,6.5,0,Not Placed
CB.EN.U4EEE22218,Keerthi Menon,cb.en.u4eee22218@cb.students.amrita.edu,EEE,C,2026,6.54,0,Not Placed
CB.EN.U4EEE22219,Nikhil Joshi,cb.en.u4eee22219@cb.students.amrita.edu,EEE,C,2026,9.49,0,Placed
CB.EN.U4EEE22220,Neha Rangan,cb.en.u4eee22220@cb.students.amrita.edu,EEE,C,2026,8.59,0,Placed
CB.EN.U4EEE22221,Kavya Reddy,cb.en.u4eee22221@cb.students.amrita.edu,EEE,C,2026,8.27,0,Placed
CB.EN.U4EEE22222,Diya Kumar,cb.en.u4eee22222@cb.students.amrita.edu,EEE,C,2026,9.32,0,Placed
CB.EN.U4EEE22223,Diya Bhat,cb.en.u4eee22223@cb.students.amrita.edu,EEE,C,2026,9.05,0,Placed
CB.EN.U4EEE22224,Meera Desai,cb.en.u4eee22224@cb.students.amrita.edu,EEE,C,2026,8.85,0,In Process
CB.EN.U4EEE22225,Varsha Iyer,cb.en.u4eee22225@cb.students.amrita.edu,EEE,C,2026,7.01,0,Not Placed
CB.EN.U4EEE22226,Priya Krishnan,cb.en.u4eee22226@cb.students.amrita.edu,EEE,C,2026,7.23,2,Not Placed
CB.EN.U4EEE22227,Varsha Naidu,cb.en.u4eee22227@cb.students.amrita.edu,EEE,C,2026,8.7,0,In Process
CB.EN.U4EEE22228,Ananya Shetty,cb.en.u4eee22228@cb.students.amrita.edu,EEE,C,2026,7.35,0,Not Placed
CB.EN.U4EEE22229,Vishal Rao,cb.en.u4eee22229@cb.students.amrita.edu,EEE,C,2026,7.7,0,Placed
CB.EN.U4EEE22230,Priya Venkatesh,cb.en.u4eee22230@cb.students.amrita.edu,EEE,C,2026,9.19,0,In Process
CB.EN.U4ECE22001,Rishabh Krishnan,cb.en.u4ece22001@cb.students.amrita.edu,ECE,A,2026,7.32,2,Not Placed
CB.EN.U4ECE22002,Anjali Menon,cb.en.u4ece22002@cb.students.amrita.edu,ECE,A,2026,8.66,0,In Process
CB.EN.U4ECE22003,Dhruv Krishnan,cb.en.u4ece22003@cb.students.amrita.edu,ECE,A,2026,8.24,0,Placed
CB.EN.U4ECE22004,Vihaan Das,cb.en.u4ece22004@cb.students.amrita.edu,ECE,A,2026,7.16,2,Not Placed
CB.EN.U4ECE22005,Aishwarya Shetty,cb.en.u4ece22005@cb.students.amrita.edu,ECE,A,2026,6.91,1,Not Placed
CB.EN.U4ECE22006,Siddharth Kamath,cb.en.u4ece22006@cb.students.amrita.edu,ECE,A,2026,8.88,0,Placed
CB.EN.U4ECE22007,Sai Venkatesh,cb.en.u4ece22007@cb.students.amrita.edu,ECE,A,2026,6.9,1,Not Placed
CB.EN.U4ECE22008,Anirudh Sharma,cb.en.u4ece22008@cb.students.amrita.edu,ECE,A,2026,8.9,0,In Process
CB.EN.U4ECE22009,Rohan Sharma,cb.en.u4ece22009@cb.students.amrita.edu,ECE,A,2026,7.08,2,Not Placed
CB.EN.U4ECE22010,Aarav Bhat,cb.en.u4ece22010@cb.students.amrita.edu,ECE,A,2026,7.37,1,Not Placed
CB.EN.U4ECE22011,Arjun Venkatesh,cb.en.u4ece22011@cb.students.amrita.edu,ECE,A,2026,9.31,0,Placed
CB.EN.U4ECE22012,Keerthi Bhat,cb.en.u4ece22012@cb.students.amrita.edu,ECE,A,2026,8.17,0,Placed
CB.EN.U4ECE22013,Suraj Das,cb.en.u4ece22013@cb.students.amrita.edu,ECE,A,2026,7.59,0,Placed
CB.EN.U4ECE22014,Rishabh Patel,cb.en.u4ece22014@cb.students.amrita.edu,ECE,A,2026,5.96,2,Not Placed
CB.EN.U4ECE22015,Suraj Sharma,cb.en.u4ece22015@cb.students.amrita.edu,ECE,A,2026,5.68,2,Not Placed
CB.EN.U4ECE22016,Harish Pillai,cb.en.u4ece22016@cb.students.amrita.edu,ECE,A,2026,9.33,0,Placed
CB.EN.U4ECE22017,Harish Reddy,cb.en.u4ece22017@cb.students.amrita.edu,ECE,A,2026,8.7,0,In Process
CB.EN.U4ECE22018,Varun Gowda,cb.en.u4ece22018@cb.students.amrita.edu,ECE,A,2026,8.39,0,In Process
CB.EN.U4ECE22019,Kavya Patel,cb.en.u4ece22019@cb.students.amrita.edu,ECE,A,2026,7.81,0,Placed
CB.EN.U4ECE22020,Anirudh Singh,cb.en.u4ece22020@cb.students.amrita.edu,ECE,A,2026,6.56,0,Not Placed
CB.EN.U4ECE22021,Lakshmi Venkatesh,cb.en.u4ece22021@cb.students.amrita.edu,ECE,A,2026,8.6,0,In Process
CB.EN.U4ECE22022,Rohan Kamath,cb.en.u4ece22022@cb.students.amrita.edu,ECE,A,2026,6.8,1,Not Placed
CB.EN.U4ECE22023,Rohan Desai,cb.en.u4ece22023@cb.students.amrita.edu,ECE,A,2026,7.66,0,In Process
CB.EN.U4ECE22024,Nandini Das,cb.en.u4ece22024@cb.students.amrita.edu,ECE,A,2026,7.58,0,In Process
CB.EN.U4ECE22025,Nikhil Rangan,cb.en.u4ece22025@cb.students.amrita.edu,ECE,A,2026,9.35,0,Placed
CB.EN.U4ECE22026,Keerthi Sharma,cb.en.u4ece22026@cb.students.amrita.edu,ECE,A,2026,7.89,0,Placed
